Faculty_ID,Teaching_Hours,Advising_Students,Committee_Count,Research_Hours,Admin_Hours,Semester_Progress,Historical_Leave_Days,Workload_Score,Pressure_Score,Burnout_Risk
FAC_025,9,29,4,18,11,0.7,15,0.5746031746031746,0.6372751322751322,Medium
FAC_026,35,11,5,8,13,0.22,13,0.6666666666666666,0.6283333333333333,Medium
FAC_027,28,20,2,2,1,0.55,8,0.39365079365079364,0.49538359788359787,Medium
FAC_028,8,18,2,14,8,0.72,4,0.36547619047619045,0.397797619047619,Low
FAC_029,19,25,7,20,5,0.15,9,0.6793650793650793,0.5039550264550263,Medium
FAC_030,33,20,2,20,2,0.59,4,0.6599206349206348,0.5903902116402115,Medium
FAC_031,29,29,2,18,14,0.29,1,0.786111111111111,0.517361111111111,Medium
FAC_032,19,27,6,14,2,0.96,4,0.5734126984126984,0.5921097883597883,Medium
FAC_033,32,24,0,17,14,0.51,2,0.7297619047619048,0.5714484126984127,Medium
FAC_034,24,27,6,9,15,0.82,6,0.7126984126984127,0.6649735449735449,High
FAC_035,34,6,6,20,15,0.57,9,0.796031746031746,0.717010582010582,High
FAC_036,34,27,7,19,6,0.09,4,0.8599206349206349,0.5590939153439154,Medium
FAC_037,17,22,6,2,11,0.65,7,0.4785714285714286,0.5045238095238096,Medium
FAC_038,35,24,2,15,13,0.95,0,0.7730158730158729,0.6853571428571428,High
FAC_039,35,10,5,20,9,0.62,2,0.7500000000000001,0.6191666666666666,Medium
FAC_040,23,13,7,16,1,0.83,2,0.5507936507936508,0.5375793650793651,Medium
FAC_041,22,22,7,19,12,0.89,8,0.7551587301587301,0.720839947089947,High
FAC_042,22,2,3,3,6,0.27,4,0.28452380952380946,0.30072089947089947,Low
FAC_043,26,27,7,18,9,0.25,15,0.7920634920634921,0.6855952380952381,High
FAC_044,19,27,3,19,8,0.63,11,0.628968253968254,0.6279431216931217,Medium
FAC_045,30,2,7,7,11,0.44,8,0.5571428571428572,0.5488624338624339,Medium
FAC_046,27,16,0,20,6,0.85,12,0.5646825396825397,0.6969775132275133,High
FAC_047,32,3,2,5,3,0.91,8,0.3714285714285714,0.5901984126984127,Medium
FAC_048,10,23,7,2,8,0.39,0,0.39722222222222225,0.2836574074074074,Low
FAC_049,12,17,2,9,9,0.28,1,0.35793650793650794,0.25921957671957674,Low
FAC_050,26,26,2,8,1,0.79,4,0.48095238095238096,0.5339285714285714,Medium
FAC_051,14,9,4,4,12,0.31,3,0.34246031746031746,0.293829365079365,Low
FAC_052,28,14,7,11,9,0.83,14,0.6436507936507937,0.7578835978835978,High
FAC_053,16,22,1,11,14,0.45,9,0.49246031746031743,0.48373677248677244,Medium
FAC_054,14,2,4,20,15,0.68,8,0.5023809523809524,0.5249603174603175,Medium
FAC_055,25,17,1,15,6,0.14,6,0.5154761904761904,0.40992724867724867,Medium
FAC_056,11,30,2,3,6,0.64,5,0.3408730158730159,0.3911706349206349,Low
FAC_057,32,8,2,2,12,0.48,6,0.47023809523809523,0.5004960317460317,Medium
FAC_058,35,6,4,19,4,0.61,0,0.6353174603174603,0.5383928571428571,Medium
FAC_059,21,23,4,8,1,0.21,0,0.44682539682539674,0.3017195767195767,Low
FAC_060,25,30,1,9,10,0.75,7,0.5845238095238094,0.6068320105820106,Medium
FAC_061,33,24,3,2,8,0.87,12,0.5742063492063492,0.7284854497354497,High
FAC_062,16,4,1,4,2,0.26,12,0.1575396825396825,0.3255224867724868,Low
FAC_063,33,13,4,9,12,0.14,1,0.6376984126984127,0.42789021164021157,Medium
FAC_064,28,27,5,16,1,0.07,11,0.6634920634920635,0.5368121693121692,Medium
FAC_065,9,17,4,6,2,0.66,9,0.25912698412698415,0.4053108465608466,Medium
FAC_066,27,20,5,4,1,0.63,10,0.469047619047619,0.5722751322751323,Medium
FAC_067,35,6,0,20,1,0.57,8,0.5285714285714286,0.5870238095238095,Medium
FAC_068,22,23,4,2,9,0.27,6,0.47698412698412695,0.413994708994709,Medium
FAC_069,35,26,0,16,13,0.42,5,0.7555555555555555,0.6116666666666667,Medium
FAC_070,14,30,3,9,14,0.61,0,0.5480158730158731,0.4213293650793651,Medium
FAC_071,19,15,1,3,1,0.52,0,0.24761904761904763,0.2821693121693122,Low
FAC_072,15,29,5,4,13,0.99,1,0.5285714285714285,0.524616402116402,Medium
FAC_073,22,6,1,15,4,0.18,5,0.3821428571428571,0.33548280423280424,Low
FAC_074,10,16,0,15,10,0.71,13,0.3630952380952381,0.5216335978835979,Medium
FAC_075,21,18,5,12,6,0.43,5,0.5305555555555554,0.46106481481481476,Medium
FAC_076,24,15,1,17,7,0.46,1,0.5230158730158729,0.42294973544973535,Medium
FAC_077,11,21,4,5,2,0.73,0,0.2988095238095238,0.3280753968253968,Low
FAC_078,25,6,2,6,6,0.71,9,0.3583333333333333,0.521712962962963,Medium
FAC_079,15,13,0,15,7,0.99,4,0.36507936507936506,0.49104497354497356,Medium
FAC_080,11,17,1,17,10,0.17,4,0.425,0.2981944444444445,Low
FAC_081,9,27,0,19,14,0.15,1,0.5178571428571428,0.2875727513227513,Low
FAC_082,13,27,6,8,10,0.74,5,0.5257936507936507,0.506792328042328,Medium
FAC_083,29,17,0,11,2,0.6,15,0.45119047619047614,0.630813492063492,Medium
FAC_084,17,22,5,8,15,0.31,8,0.5666666666666667,0.47250000000000003,Medium
FAC_085,11,8,6,2,2,0.13,1,0.21547619047619046,0.15390873015873013,Low
FAC_086,29,5,7,20,10,0.13,9,0.701190476190476,0.5458134920634921,Medium
FAC_087,25,2,5,17,7,0.9,1,0.5269841269841269,0.5384391534391534,Medium
FAC_088,33,6,2,20,12,0.23,15,0.6670634920634921,0.650271164021164,High
FAC_089,19,24,6,5,1,0.36,15,0.44126984126984126,0.5293121693121694,Medium
FAC_090,9,27,7,19,8,0.27,2,0.6035714285714285,0.3694775132275132,Low
FAC_091,17,11,4,3,11,0.39,12,0.3682539682539682,0.4565476190476191,Medium
FAC_092,11,23,0,2,13,0.12,6,0.3119047619047619,0.261468253968254,Low
FAC_093,21,6,1,16,3,0.54,5,0.3714285714285714,0.41695767195767197,Medium
FAC_094,23,5,3,6,11,0.11,11,0.403968253968254,0.41150793650793654,Medium
FAC_095,22,3,0,12,6,0.81,7,0.32738095238095233,0.49500661375661376,Medium
FAC_096,15,21,7,11,9,0.27,14,0.5492063492063493,0.5272354497354498,Medium
FAC_097,21,11,0,3,6,0.56,7,0.27341269841269833,0.40451719576719575,Medium
FAC_098,30,27,2,4,9,0.89,5,0.5738095238095239,0.6288624338624339,Medium
FAC_099,35,20,4,13,7,0.67,11,0.7007936507936507,0.7295238095238096,High
FAC_100,32,27,3,6,15,0.56,10,0.7039682539682539,0.6790079365079366,High
FAC_101,15,2,6,6,9,0.36,9,0.3365079365079365,0.38735449735449734,Low
FAC_102,28,25,6,7,2,0.37,2,0.5813492063492063,0.4548478835978836,Medium
FAC_103,23,6,6,10,12,0.69,15,0.5305555555555556,0.6668055555555557,High
FAC_104,20,14,7,3,8,0.99,2,0.4551587301587302,0.5234325396825397,Medium
FAC_105,25,5,5,13,8,0.68,14,0.5146825396825396,0.6512367724867725,High
FAC_106,22,17,5,4,2,0.58,0,0.4027777777777777,0.3781018518518518,Low
FAC_107,28,25,1,13,12,0.74,15,0.6480158730158729,0.7506812169312169,High
FAC_108,31,17,3,18,14,0.49,15,0.7440476190476191,0.7425066137566139,High
FAC_109,33,24,6,11,4,0.11,6,0.6956349206349206,0.5131283068783069,Medium
FAC_110,32,3,5,15,14,0.58,4,0.6646825396825395,0.5863293650793651,Medium
FAC_111,35,18,7,18,15,0.96,3,0.8920634920634921,0.7814285714285715,High
FAC_112,35,29,1,19,11,0.22,9,0.8103174603174602,0.6396428571428571,Medium
FAC_113,35,28,4,20,15,0.71,14,0.9214285714285714,0.8788095238095237,High
FAC_114,20,21,1,18,7,0.24,3,0.5325396825396825,0.3840873015873016,Low
FAC_115,16,25,5,15,11,0.56,13,0.6119047619047618,0.6183201058201059,Medium
FAC_116,22,13,2,10,4,0.14,3,0.398015873015873,0.30595899470899474,Low
FAC_117,20,19,7,9,4,0.48,5,0.5146825396825396,0.46271825396825395,Medium
FAC_118,8,4,2,3,6,0.77,14,0.12182539682539681,0.43398809523809523,Medium
FAC_119,32,29,6,14,10,0.38,7,0.8178571428571427,0.6452579365079365,Medium
FAC_120,14,2,2,8,6,0.68,7,0.22976190476190472,0.3889484126984127,Low
FAC_121,16,2,6,10,10,0.81,4,0.4027777777777778,0.466712962962963,Medium
FAC_122,31,30,6,12,15,0.93,14,0.8452380952380952,0.8847089947089948,High
FAC_123,8,20,5,15,3,0.27,5,0.40158730158730155,0.3148809523809524,Low
FAC_124,19,12,2,5,15,0.43,3,0.4198412698412698,0.37716931216931215,Low
FAC_125,15,6,6,14,9,0.19,11,0.4539682539682539,0.42437830687830685,Medium
FAC_126,31,13,3,3,12,0.99,13,0.5273809523809524,0.7433399470899471,High
FAC_127,18,4,4,6,10,0.93,10,0.35198412698412695,0.5612632275132274,Medium
FAC_128,26,2,1,12,14,0.56,12,0.4718253968253968,0.5789880952380952,Medium
FAC_129,24,2,1,7,11,0.85,8,0.3619047619047619,0.5412830687830688,Medium
FAC_130,15,9,5,19,2,0.54,7,0.43452380952380953,0.4497949735449735,Medium
FAC_131,10,11,2,11,6,0.64,9,0.2829365079365079,0.414728835978836,Medium
FAC_132,10,12,2,5,12,0.13,11,0.2876984126984127,0.3160383597883598,Low
FAC_133,8,13,6,10,7,0.77,9,0.3603174603174603,0.47464285714285714,Medium
FAC_134,34,30,7,7,12,0.17,0,0.8123015873015873,0.5043320105820106,Medium
FAC_135,12,14,0,3,13,0.83,14,0.2698412698412698,0.5304100529100529,Medium
FAC_136,17,13,6,18,9,0.79,1,0.5706349206349206,0.5009523809523809,Medium
FAC_137,14,15,4,6,13,0.72,8,0.4182539682539682,0.4971031746031746,Medium
FAC_138,33,3,3,7,3,0.08,7,0.42619047619047606,0.3977116402116402,Low
FAC_139,16,30,1,13,10,0.34,13,0.5289682539682539,0.5259986772486772,Medium
FAC_140,35,20,6,11,3,0.3,2,0.6785714285714286,0.5070238095238095,Medium
FAC_141,14,19,0,7,7,0.39,7,0.30793650793650795,0.3516269841269841,Low
FAC_142,16,4,0,9,14,0.13,11,0.3202380952380952,0.35290343915343914,Low
FAC_143,15,24,6,3,4,0.94,0,0.40674603174603174,0.4439616402116402,Medium
FAC_144,19,18,5,13,13,0.58,9,0.5944444444444444,0.5732407407407407,Medium
FAC_145,9,27,1,14,8,0.34,3,0.41944444444444445,0.3174537037037037,Low
FAC_146,8,9,5,8,13,0.43,2,0.35238095238095235,0.29273809523809524,Low
FAC_147,23,30,3,11,7,0.47,5,0.5952380952380952,0.5075793650793651,Medium
FAC_148,30,27,0,14,5,0.62,6,0.5992063492063492,0.5861243386243387,Medium
FAC_149,30,11,0,18,7,0.54,3,0.5507936507936508,0.5043386243386244,Medium
FAC_150,31,27,4,15,3,0.92,6,0.6857142857142858,0.7037566137566138,High
FAC_151,12,3,3,3,12,0.52,8,0.24484126984126983,0.36166005291005293,Low
FAC_152,10,20,0,12,2,0.99,10,0.27261904761904765,0.5109193121693122,Medium
FAC_153,19,10,3,2,6,0.86,1,0.2972222222222222,0.40282407407407406,Medium
FAC_154,15,8,1,20,2,0.25,10,0.3527777777777778,0.38050925925925927,Low
FAC_155,29,5,2,5,3,0.93,2,0.3523809523809523,0.49551587301587297,Medium
FAC_156,34,27,0,20,6,0.16,4,0.7210317460317459,0.5140939153439152,Medium
FAC_157,10,22,4,12,5,0.83,2,0.40476190476190477,0.42371693121693127,Medium
FAC_158,8,19,1,9,8,0.41,10,0.29563492063492064,0.3688690476190476,Low
FAC_159,10,14,6,12,9,0.88,7,0.4333333333333333,0.5157407407407407,Medium
FAC_160,12,12,3,5,11,0.87,11,0.3206349206349206,0.5232671957671957,Medium
FAC_161,22,30,6,18,3,0.82,9,0.6833333333333333,0.6843518518518518,High
FAC_162,21,25,5,8,12,0.8,7,0.6003968253968254,0.611660052910053,Medium
FAC_163,10,5,1,9,10,0.34,7,0.23928571428571427,0.29341931216931216,Low
FAC_164,8,26,6,4,3,0.13,11,0.3436507936507936,0.3338095238095238,Low
FAC_165,12,22,7,3,3,0.43,11,0.36984126984126986,0.43541005291005297,Medium
FAC_166,33,30,7,16,13,0.21,8,0.9119047619047619,0.6621164021164021,High
FAC_167,30,26,0,6,13,0.71,3,0.5888888888888889,0.5639814814814815,Medium
FAC_168,21,5,3,2,6,0.38,4,0.28373015873015867,0.3241600529100529,Low
FAC_169,14,11,2,5,15,0.98,4,0.3571428571428571,0.48126984126984124,Medium
FAC_170,34,6,1,16,15,0.66,7,0.6444444444444444,0.6446296296296297,Medium
FAC_171,16,10,0,20,1,0.83,6,0.346031746031746,0.47284391534391534,Medium
FAC_172,22,25,4,4,7,0.18,8,0.492063492063492,0.42494708994708996,Medium
FAC_173,22,4,5,12,12,0.87,14,0.5059523809523809,0.6836970899470899,High
FAC_174,33,18,3,18,1,0.93,14,0.6341269841269841,0.7971164021164021,High
FAC_175,17,4,1,14,14,0.51,15,0.40833333333333327,0.5445833333333333,Medium
FAC_176,35,17,7,12,5,0.63,13,0.7111111111111111,0.7508333333333334,High
FAC_177,20,5,1,3,15,0.78,7,0.3373015873015873,0.4845634920634921,Medium
FAC_178,26,19,2,10,10,0.22,1,0.5496031746031746,0.3823214285714286,Low
FAC_179,14,18,7,3,13,0.53,9,0.47063492063492063,0.4865079365079365,Medium
FAC_180,24,8,2,10,8,0.43,11,0.4273809523809524,0.5057473544973545,Medium
FAC_181,27,25,4,10,4,0.19,3,0.5821428571428572,0.41983465608465614,Medium
FAC_182,11,24,5,9,5,0.4,5,0.4182539682539682,0.3659920634920635,Low
FAC_183,12,6,4,18,4,0.11,11,0.3686507936507937,0.35487433862433865,Low
FAC_184,30,13,0,2,12,0.07,1,0.44087301587301586,0.310707671957672,Low
FAC_185,14,18,0,12,12,0.18,6,0.4099206349206349,0.33168650793650795,Low
FAC_186,20,24,4,9,14,0.96,15,0.5932539682539681,0.7514087301587301,High
FAC_187,22,14,5,11,4,0.57,2,0.4805555555555555,0.43726851851851856,Medium
FAC_188,18,24,4,8,12,0.97,12,0.5384920634920635,0.6818584656084656,High
FAC_189,11,26,5,4,8,0.46,2,0.4091269841269841,0.33688492063492065,Low
FAC_190,20,4,5,4,2,0.35,10,0.2876984126984127,0.3947420634920635,Low
FAC_191,14,10,6,19,1,0.53,1,0.44126984126984126,0.3666269841269841,Low
FAC_192,34,18,7,6,3,0.47,10,0.619047619047619,0.6257010582010581,Medium
FAC_193,26,18,3,13,9,0.15,7,0.5865079365079365,0.4614285714285714,Medium
FAC_194,29,21,5,13,4,0.66,5,0.6305555555555555,0.5931944444444444,Medium
FAC_195,35,17,2,20,10,0.26,0,0.7464285714285714,0.5008928571428571,Medium
FAC_196,9,26,5,7,5,0.64,11,0.3880952380952381,0.4850132275132275,Medium
FAC_197,17,23,5,3,2,0.67,0,0.37896825396825395,0.37136904761904765,Low
FAC_198,20,14,5,13,4,0.19,6,0.4805555555555555,0.38819444444444445,Low
FAC_199,32,28,6,20,2,0.11,15,0.7916666666666665,0.6726388888888889,High
FAC_200,28,20,7,6,15,0.79,7,0.6952380952380952,0.6777645502645503,High
FAC_201,13,18,6,13,2,0.49,4,0.43134920634920637,0.3884589947089947,Low
FAC_202,35,5,0,18,4,0.11,15,0.5313492063492063,0.5666071428571429,Medium
FAC_203,35,13,6,18,6,1.0,11,0.7384920634920635,0.8289880952380954,High
FAC_204,19,30,2,11,7,0.1,15,0.5293650793650794,0.5039550264550265,Medium
FAC_205,19,10,2,18,10,0.71,10,0.49642857142857144,0.5749669312169312,Medium
FAC_206,27,20,6,16,3,0.98,4,0.6452380952380953,0.6590608465608466,High
FAC_207,18,13,7,13,3,0.28,3,0.48333333333333334,0.36453703703703705,Low
FAC_208,33,10,4,17,10,0.19,13,0.6837301587301586,0.6211044973544972,Medium
FAC_209,30,8,3,20,6,0.17,5,0.6051587301587302,0.4629695767195767,Medium
FAC_210,35,29,7,9,13,0.34,13,0.8492063492063491,0.7404761904761904,High
FAC_211,32,15,6,18,12,0.15,5,0.7837301587301587,0.5457341269841269,Medium
FAC_212,14,21,5,6,3,0.71,2,0.3753968253968254,0.3953174603174603,Low
FAC_213,8,20,1,17,13,0.11,15,0.4452380952380952,0.4278571428571428,Medium
FAC_214,8,27,3,7,2,0.53,8,0.30912698412698414,0.37827380952380957,Low
FAC_215,32,16,3,9,8,1.0,11,0.5837301587301587,0.748234126984127,High
FAC_216,34,17,2,19,5,0.82,10,0.6706349206349206,0.7364153439153439,High
FAC_217,32,22,3,13,15,0.63,13,0.746031746031746,0.755436507936508,High
FAC_218,27,6,6,16,1,0.34,6,0.5238095238095238,0.4710846560846561,Medium
FAC_219,20,4,5,10,3,0.64,15,0.36507936507936506,0.5687301587301586,Medium
FAC_220,16,13,5,14,10,0.55,0,0.5043650793650793,0.3940939153439153,Low
FAC_221,10,26,0,16,8,0.45,14,0.4242063492063492,0.4974669312169312,Medium
FAC_222,14,21,5,11,4,0.17,12,0.44166666666666665,0.42347222222222225,Medium
FAC_223,13,28,7,17,14,0.89,6,0.6972222222222222,0.6347685185185185,Medium
FAC_224,15,22,5,8,7,0.48,4,0.45873015873015877,0.4056878306878307,Medium
FAC_225,34,5,2,18,10,0.23,4,0.6273809523809523,0.4894510582010581,Medium
FAC_226,16,22,5,8,12,0.4,13,0.5234126984126984,0.5384986772486773,Medium
FAC_227,12,24,0,15,14,0.44,12,0.4853174603174603,0.503207671957672,Medium
FAC_228,8,17,1,16,14,0.84,1,0.4234126984126984,0.4138690476190476,Medium
FAC_229,26,26,6,8,2,0.75,3,0.5773809523809523,0.5539880952380952,Medium
FAC_230,17,8,2,10,7,0.78,11,0.3388888888888889,0.5275000000000001,Medium
FAC_231,19,14,7,20,5,0.06,5,0.6007936507936508,0.39276455026455026,Low
FAC_232,31,22,1,17,5,0.45,9,0.6293650793650793,0.6008994708994708,Medium
FAC_233,22,11,2,9,6,0.51,14,0.394047619047619,0.543339947089947,Medium
FAC_234,34,27,4,19,13,0.07,10,0.8706349206349205,0.6389153439153439,Medium
FAC_235,29,8,3,19,9,0.3,6,0.615079365079365,0.509563492063492,Medium
FAC_236,31,15,4,8,14,0.77,15,0.640079365079365,0.7657208994708995,High
FAC_237,16,27,5,4,6,0.18,10,0.45039682539682535,0.41064153439153434,Medium
FAC_238,27,6,1,19,12,0.56,4,0.5678571428571428,0.5192394179894181,Medium
FAC_239,24,4,5,11,13,0.25,8,0.5277777777777777,0.46592592592592585,Medium
FAC_240,24,24,3,8,15,0.06,2,0.6158730158730158,0.3780687830687831,Low
FAC_241,33,30,2,18,14,0.28,0,0.8376984126984126,0.5395568783068783,Medium
FAC_242,27,12,3,15,8,0.98,3,0.5662698412698413,0.610191798941799,Medium
FAC_243,19,12,0,4,7,0.81,8,0.28015873015873016,0.47597883597883606,Medium
FAC_244,14,19,3,13,9,0.96,3,0.4603174603174603,0.5093650793650794,Medium
FAC_245,9,16,0,14,4,0.51,1,0.27658730158730155,0.2690013227513227,Low
FAC_246,10,13,3,3,2,0.15,9,0.18690476190476188,0.24901455026455027,Low
FAC_247,24,10,6,4,7,0.57,13,0.4499999999999999,0.5775925925925925,Medium
FAC_248,12,11,0,6,6,0.48,13,0.20674603174603173,0.40118386243386245,Medium
FAC_249,24,27,1,12,1,0.85,4,0.4888888888888888,0.5450925925925926,Medium
FAC_250,31,13,5,9,11,0.14,2,0.6261904761904761,0.4286375661375661,Medium
FAC_251,24,18,7,13,9,0.51,12,0.65,0.6392592592592593,Medium
FAC_252,34,30,5,8,9,0.19,11,0.7484126984126983,0.6272486772486772,Medium
FAC_253,24,7,4,16,12,0.36,12,0.5726190476190476,0.5669378306878307,Medium
FAC_254,9,8,5,18,2,0.75,8,0.34960317460317464,0.455191798941799,Medium
FAC_255,9,15,2,5,3,0.5,3,0.20158730158730162,0.2594179894179895,Low
FAC_256,35,14,6,14,5,0.41,5,0.6904761904761904,0.5798809523809523,Medium
FAC_257,29,9,3,19,5,0.42,1,0.5793650793650792,0.4568253968253967,Medium
FAC_258,30,11,4,2,15,0.49,5,0.5444444444444444,0.5156481481481481,Medium
FAC_259,12,10,2,17,1,0.8,2,0.3111111111111111,0.38148148148148153,Low
FAC_260,8,19,2,14,8,0.9,11,0.37261904761904757,0.5393452380952382,Medium
FAC_261,8,28,0,11,12,0.96,11,0.4035714285714286,0.5682738095238096,Medium
FAC_262,26,27,5,13,8,0.8,8,0.6829365079365078,0.6806547619047618,High
FAC_263,9,3,1,3,4,0.35,10,0.08293650793650793,0.2618584656084656,Low
FAC_264,28,6,7,4,13,0.7,1,0.5515873015873016,0.5106216931216931,Medium
FAC_265,19,30,1,11,7,0.47,14,0.5079365079365079,0.573478835978836,Medium
FAC_266,33,6,4,3,15,0.29,11,0.5531746031746031,0.5606878306878307,Medium
FAC_267,13,7,6,14,15,0.85,11,0.5031746031746032,0.6041137566137565,Medium
FAC_268,30,20,1,14,11,0.09,8,0.6349206349206348,0.49636243386243384,Medium
FAC_269,11,9,3,19,10,0.91,4,0.4329365079365079,0.48676587301587304,Medium
FAC_270,30,17,1,4,3,0.49,7,0.41666666666666663,0.4848148148148148,Medium
FAC_271,18,14,4,8,6,0.66,1,0.40277777777777773,0.39662037037037035,Low
FAC_272,31,2,7,15,14,0.68,5,0.6892857142857143,0.6320304232804232,Medium
FAC_273,34,23,1,18,10,0.9,2,0.7345238095238095,0.6784986772486772,High
FAC_274,24,21,3,13,13,0.65,11,0.6285714285714286,0.6512830687830687,High
FAC_275,13,18,0,17,10,0.63,11,0.43293650793650795,0.5175066137566138,Medium
FAC_276,31,8,6,13,12,0.11,13,0.6670634920634921,0.5861970899470901,Medium
FAC_277,12,26,4,16,14,0.54,9,0.5964285714285714,0.538207671957672,Medium
FAC_278,27,14,0,11,9,0.19,15,0.4825396825396825,0.5350132275132276,Medium
FAC_279,9,5,0,8,1,0.75,4,0.0992063492063492,0.2891798941798942,Low
FAC_280,13,5,0,6,5,0.54,11,0.16428571428571426,0.37411375661375657,Low
FAC_281,29,7,2,2,4,0.7,7,0.344047619047619,0.5009325396825397,Medium
FAC_282,18,29,6,18,8,0.09,9,0.6853174603174602,0.48792989417989413,Medium
FAC_283,23,20,7,4,11,0.13,13,0.5746031746031746,0.5199603174603175,Medium
FAC_284,23,30,5,14,12,0.73,0,0.725,0.5643055555555556,Medium
FAC_285,8,13,6,15,1,0.12,4,0.35158730158730156,0.24154761904761904,Low
FAC_286,16,23,2,19,9,0.12,2,0.5563492063492064,0.33665343915343915,Low
FAC_287,35,8,5,5,6,0.06,3,0.5369047619047619,0.3966071428571428,Low
FAC_288,34,28,6,19,4,0.96,1,0.824206349206349,0.7205224867724868,High
FAC_289,13,11,0,6,12,0.75,8,0.28214285714285714,0.43964947089947093,Medium
FAC_290,23,27,4,17,9,0.39,2,0.6833333333333333,0.4872222222222223,Medium
FAC_291,10,20,5,2,11,0.33,14,0.36507936507936506,0.44085978835978834,Medium
FAC_292,27,8,3,15,5,0.38,1,0.5055555555555555,0.4062037037037037,Medium
FAC_293,35,4,3,16,15,0.79,9,0.6841269841269841,0.7253571428571428,High
FAC_294,34,14,1,10,5,0.68,10,0.5277777777777777,0.6371296296296296,Medium
FAC_295,11,14,5,16,12,0.23,8,0.4996031746031746,0.4000992063492064,Medium
FAC_296,26,19,4,18,5,0.22,6,0.6277777777777777,0.48416666666666663,Medium
FAC_297,33,29,7,5,1,0.14,15,0.6539682539682539,0.6218783068783069,Medium
FAC_298,10,27,2,13,1,0.68,15,0.3658730158730159,0.5420502645502646,Medium
FAC_299,26,21,0,6,8,0.78,5,0.4551587301587302,0.533154761904762,Medium
FAC_300,27,29,1,6,12,0.3,0,0.5876984126984127,0.4098346560846561,Medium
FAC_301,14,9,3,12,8,0.07,4,0.3670634920634921,0.258234126984127,Low
FAC_302,27,30,2,7,12,0.13,11,0.6273809523809524,0.5318584656084656,Medium
FAC_303,16,10,2,8,15,0.97,10,0.40555555555555556,0.587962962962963,Medium
FAC_304,8,8,0,15,15,0.33,13,0.3373015873015873,0.40761904761904766,Medium
FAC_305,15,2,7,12,6,0.78,14,0.39246031746031745,0.5841997354497355,Medium
FAC_306,14,4,7,14,12,0.64,10,0.4821428571428571,0.5325198412698413,Medium
FAC_307,25,14,5,3,11,0.41,2,0.5,0.41712962962962963,Medium
FAC_308,15,29,3,8,13,0.25,0,0.53015873015873,0.32699735449735445,Low
FAC_309,8,26,7,5,4,0.17,3,0.38690476190476186,0.25660714285714287,Low
FAC_310,18,29,4,9,2,0.63,12,0.47817460317460314,0.5697156084656085,Medium
FAC_311,35,18,7,20,14,0.79,15,0.9035714285714285,0.9041071428571429,High
FAC_312,32,26,2,14,2,0.66,1,0.625,0.5484722222222222,Medium
FAC_313,32,25,0,15,9,0.55,1,0.6611111111111111,0.5372222222222222,Medium
FAC_314,25,2,4,11,15,0.09,2,0.5246031746031745,0.3482010582010582,Low
FAC_315,30,7,5,12,5,0.97,7,0.5412698412698412,0.6608862433862434,High
FAC_316,17,22,3,3,4,0.81,7,0.35039682539682543,0.4868452380952381,Medium
FAC_317,10,7,5,10,10,0.33,11,0.3503968253968254,0.3942526455026455,Low
FAC_318,14,27,2,18,13,0.98,14,0.5944444444444444,0.7213888888888889,High
FAC_319,35,13,4,4,1,0.62,6,0.48650793650793644,0.5539285714285714,Medium
